guide	gene	SUM149PT_T0	SUM149PT_T7_UT	SUM149PT_T7_OLA	CAPAN1_T0	CAPAN1_T7_UT	CAPAN1_T7_OLA
EP300_BD_e17_111.2	EP300	383	124	40	492	141	482
EP300_BD_e17_111.6	EP300	142	41	22	151	89	150
EP300_BD_e17_111.7	EP300	430	141	16	434	124	129
EP300_BD_e18_196.14	EP300	160	449	286	278	120	783
EP300_BD_e18_196.15	EP300	552	1449	369	565	176	596
EP300_BD_e18_196.5	EP300	335	469	346	325	133	704
EP300_e25_147.10	EP300	107	67	16	122	57	27
EP300_e25_147.11	EP300	270	81	12	274	120	421
EP300_e25_147.3	EP300	380	136	15	489	119	300
EP300_e26_114.0	EP300	432	218	165	466	241	333
EP300_e26_114.5	EP300	743	441	217	748	178	428
EP300_e26_114.6	EP300	364	250	110	432	144	240
EP300_e27_166.3	EP300	160	29	0	200	98	134
EP300_e27_166.6	EP300	469	169	224	577	392	296
EP300_e27_166.7	EP300	311	99	159	368	174	145
EP300_e28_165.12	EP300	976	258	753	919	263	809
EP300_e28_165.2	EP300	308	412	82	549	113	457
EP300_e28_165.4	EP300	488	378	247	547	271	555
EP300_e29_162.10	EP300	376	553	267	538	261	701
EP300_e29_162.8	EP300	496	354	395	585	339	580
EP300_e29_162.9	EP300	670	331	67	551	203	599
EP400_D_e14_86.4	EP400	341	29	0	387	53	66
EP400_D_e15_137.3	EP400	215	1	0	278	6	217
EP400_D_e16_170.3	EP400	241	21	25	203	122	627
EP400_H_e28_170.6	EP400	262	0	0	424	159	132
EP400_H_e29_190.15	EP400	72	0	35	76	21	31
ERCC6_D_e7_105.7	ERCC6	470	82	405	423	265	373
ERCC6_D_e8_136.9	ERCC6	455	515	604	584	401	401
ERCC6_D_e9_171.1	ERCC6	413	154	220	490	702	867
ERCC6_H_e13_105.0	ERCC6	367	391	217	442	141	469
ERCC6_H_e14_111.2	ERCC6	841	664	222	911	435	1123
ERCC6_H_e15_120.3	ERCC6	293	242	85	327	485	599
ERCC6_H_e16_52.2	ERCC6	206	109	19	205	335	294
EZH1_e17_96.2	EZH1	29	4	0	53	30	20
EZH1_e17_96.3	EZH1	104	172	89	178	100	185
EZH1_e17_96.5	EZH1	811	909	1070	772	410	734
EZH1_e18_82.0	EZH1	512	670	644	614	423	811
EZH1_e18_82.1	EZH1	527	687	256	617	332	1394
EZH1_e19_81.0	EZH1	316	424	281	344	180	694
EZH1_e19_81.1	EZH1	140	218	72	154	98	40
EZH1_e20_85.1	EZH1	813	806	778	899	799	1246
EZH1_e20_85.2	EZH1	477	250	465	500	550	605
EZH1_e20_85.7	EZH1	639	952	366	812	403	917
EZH2_e16_96.1	EZH2	252	40	101	274	119	276
EZH2_e16_96.2	EZH2	248	37	219	412	275	296
EZH2_e16_96.8	EZH2	388	75	34	494	282	453
EZH2_e19_85.3	EZH2	146	143	129	171	175	386
EZH2_SET_e17_82.0	EZH2	0	0	0	0	0	0
EZH2_SET_e18_81.0	EZH2	0	0	0	0	0	0
EZH2_SET_e18_81.1	EZH2	0	0	0	0	0	0
GCN5_e11_127.10	GCN5	285	81	52	316	269	294
GCN5_e11_127.16	GCN5	505	150	327	581	52	194
GCN5_e11_127.5	GCN5	392	116	86	669	105	355
GCN5_e12_59.0	GCN5	894	248	302	721	458	591
GCN5_e12_59.1	GCN5	544	165	291	301	153	467
GCN5_e12_59.4	GCN5	388	263	48	593	506	178
GTF3C4_e3_131.0	GTF3C4	444	69	48	552	14	190
GTF3C4_e3_131.3	GTF3C4	522	0	0	431	399	227
GTF3C4_e3_131.4	GTF3C4	54	0	0	34	38	14
GTF3C4_e4_89.2	GTF3C4	366	13	22	376	126	97
GTF3C4_e4_89.5	GTF3C4	268	42	0	370	249	357
GTF3C4_e4_89.6	GTF3C4	252	0	0	207	154	142
HAT1_e3_76.0	HAT1	430	652	889	589	332	767
HAT1_e3_76.1	HAT1	179	287	515	281	160	462
HAT1_e3_76.3	HAT1	199	212	216	299	99	489
HAT1_e4_121.2	HAT1	282	410	145	473	231	1053
HAT1_e4_121.4	HAT1	243	103	186	267	359	656
HAT1_e4_121.5	HAT1	254	204	97	410	504	1249
HAT1_e5_180.0	HAT1	513	542	897	776	598	1852
HAT1_e5_180.4	HAT1	654	554	849	640	368	1112
HAT1_e5_180.9	HAT1	271	233	240	235	138	611
HAT1_e6_73.0	HAT1	484	382	534	461	707	910
HAT1_e6_73.1	HAT1	610	1053	1372	953	890	1087
HBO1_e13_147.4	HBO1	218	91	298	232	233	573
HBO1_e14_107.2	HBO1	370	271	75	330	283	303
HBO1_e14_107.4	HBO1	281	725	112	322	197	991
HBO1_e9_192.3	HBO1	440	258	316	397	184	450
HBO1_e9_192.8	HBO1	124	135	261	203	144	147
HDAC1_e2_113.6	HDAC1	525	778	771	687	628	1120
HDAC1_e3_118.4	HDAC1	124	139	130	181	321	363
HDAC1_e4_75.0	HDAC1	384	112	59	342	270	614
HDAC1_e5_139.9	HDAC1	387	263	338	289	199	225
HDAC1_e6_142.2	HDAC1	348	302	123	252	302	162
HDAC1_e7_93.0	HDAC1	270	233	334	408	383	434
HDAC1_e8_109.7	HDAC1	35	57	138	80	138	0
HDAC1_e9_140.6	HDAC1	182	113	59	346	148	426
HDAC10_e10_90.12	HDAC10	225	179	690	253	481	332
HDAC10_e11_107.3	HDAC10	35	352	77	105	63	141
HDAC10_e5_105.11	HDAC10	490	227	313	723	616	848
HDAC10_e6_69.8	HDAC10	562	676	798	747	483	1074
HDAC10_e7_127.17	HDAC10	35	41	177	53	54	62
HDAC10_e8_66.0	HDAC10	512	518	250	449	593	477
HDAC10_e9_60.4	HDAC10	196	322	143	425	171	705
HDAC11_e3_101.12	HDAC11	261	198	172	390	211	325
HDAC11_e4_117.8	HDAC11	240	220	394	247	139	2146
HDAC11_e5_43.3	HDAC11	368	727	436	372	353	972
HDAC11_e6_77.6	HDAC11	729	633	1066	907	935	1027
HDAC11_e7_63.4	HDAC11	261	409	653	483	323	660
HDAC11_e8_97.1	HDAC11	237	221	158	251	254	372
HDAC11_e9_118.3	HDAC11	222	355	163	335	689	1377
HDAC2_e5_139.3	HDAC2	289	1118	841	322	506	535
HDAC2_e6_140.2	HDAC2	762	679	316	639	760	1814
HDAC2_e7_93.1	HDAC2	403	609	361	387	417	749
HDAC2_e8_109.3	HDAC2	326	368	266	450	371	672
HDAC2_e9_140.4	HDAC2	151	166	183	200	296	334
HDAC3_e10_65.1	HDAC3	545	30	99	692	92	170
HDAC3_e11_90.1	HDAC3	168	10	0	292	19	34
HDAC3_e6_56.1	HDAC3	342	16	0	392	128	74
HDAC3_e7_134.16	HDAC3	402	0	22	405	94	103
HDAC3_e8_81.4	HDAC3	454	6	0	472	65	294
HDAC3_e9_74.6	HDAC3	295	8	0	307	99	93
HDAC4_e19_56.3	HDAC4	429	367	476	482	262	595
HDAC4_e20_88.1	HDAC4	145	408	235	395	364	778
HDAC4_e21_120.2	HDAC4	442	566	1257	571	464	1439
HDAC4_e22_98.4	HDAC4	118	356	14	146	49	125
HDAC4_e23_119.4	HDAC4	200	407	174	262	102	376
HDAC5_e20_56.2	HDAC5	349	544	172	435	299	476
HDAC5_e21_88.3	HDAC5	368	715	296	499	188	652
HDAC5_e22_120.11	HDAC5	214	301	34	201	160	413
HDAC5_e23_97.7	HDAC5	380	312	259	491	379	573
HDAC5_e24_119.10	HDAC5	122	251	38	237	137	552
HDAC5_e25_134.18	HDAC5	184	323	228	146	281	154
HDAC6_a1_e10_69.4	HDAC6	437	686	325	611	467	948
HDAC6_a1_e11_127.22	HDAC6	145	95	64	315	262	362
HDAC6_a1_e12_66.0	HDAC6	173	395	80	259	261	475
HDAC6_a1_e13_60.3	HDAC6	574	896	321	588	682	1067
HDAC6_a1_e14_90.1	HDAC6	598	717	654	745	553	1462
HDAC6_a1_e8_98.7	HDAC6	182	196	84	310	272	866
HDAC6_a1_e9_105.4	HDAC6	522	107	343	535	478	763
HDAC6_a2_e20_134.7	HDAC6	310	220	680	392	249	467
HDAC6_a2_e21_69.4	HDAC6	535	564	713	684	815	1278
HDAC6_a2_e22_193.13	HDAC6	395	577	950	590	572	1153
HDAC6_a2_e23_150.7	HDAC6	199	265	147	230	312	502
HDAC6_a2_e24_175.10	HDAC6	187	58	148	184	213	348
HDAC7_e14_134.17	HDAC7	15	0	0	6	15	0
HDAC7_e15_121.13	HDAC7	389	110	189	529	507	1485
HDAC7_e16_50.6	HDAC7	370	910	112	306	235	983
HDAC7_e17_108.0	HDAC7	230	296	350	382	327	921
HDAC7_e18_56.0	HDAC7	377	742	739	447	326	620
HDAC7_e19_88.1	HDAC7	334	286	610	663	405	2021
HDAC7_e20_120.12	HDAC7	230	79	138	217	277	205
HDAC7_e21_98.10	HDAC7	320	151	34	555	183	595
HDAC7_e22_119.18	HDAC7	371	421	291	374	330	444
HDAC8_e3_131.7	HDAC8	754	331	806	724	322	666
HDAC8_e4_142.12	HDAC8	561	749	442	575	473	595
HDAC8_e5_113.2	HDAC8	352	291	341	418	208	531
HDAC8_e6_78.4	HDAC8	480	175	337	602	125	324
HDAC8_e7_109.1	HDAC8	385	485	536	317	358	417
HDAC8_e8_173.14	HDAC8	766	862	755	783	287	708
HDAC9_e17_56.1	HDAC9	172	152	251	174	224	286
HDAC9_e19_120.1	HDAC9	371	932	80	426	466	751
HDAC9_e19_120.7	HDAC9	10	28	13	26	41	97
HDAC9_e20_98.7	HDAC9	506	547	1279	734	550	1311
HDAC9_e21_119.13	HDAC9	337	317	739	397	268	322
HDAC9_e22_134.4	HDAC9	383	367	379	432	627	688
HELLS_D_e10_144.9	HELLS	232	138	349	249	251	391
HELLS_D_e11_135.2	HELLS	295	301	354	462	328	277
HELLS_D_e9_190.7	HELLS	467	561	408	428	301	374
HELLS_H_e18_120.2	HELLS	417	461	706	564	589	1048
HELLS_H_e19_117.1	HELLS	164	19	61	126	41	83
HELLS_H_e20_73.0	HELLS	382	80	174	461	370	75
HIF1AN_e2_251.15	HIF1AN	289	111	241	329	349	344
HIF1AN_e2_251.26	HIF1AN	404	247	125	593	497	1098
HIF1AN_e2_251.6	HIF1AN	409	112	254	564	477	920
HIF1AN_e3_149.1	HIF1AN	362	109	64	388	348	641
HIF1AN_e4_146.7	HIF1AN	405	97	136	438	205	749
HIF1AN_e4_146.8	HIF1AN	322	83	58	670	351	352
HIF1AN_e4_146.9	HIF1AN	265	55	143	246	230	316
HLTF_D_e15_144.6	HLTF	223	581	123	328	313	313
HLTF_D_e16_139.7	HLTF	377	283	350	386	452	348
HLTF_H_e23_181.0	HLTF	339	346	249	518	644	750
HLTF_H_e23_181.1	HLTF	365	475	391	447	629	988
HLTF_H_e23_181.2	HLTF	198	160	186	198	317	258
HLTF_H_e24_81.1	HLTF	435	578	264	462	541	720
HR_e17_165.23	HR	51	66	0	28	67	81
HR_e17_165.25	HR	761	290	437	985	827	1446
HR_e17_165.26	HR	446	162	307	557	498	771
HR_e18_129.18	HR	305	434	274	506	309	1417
HR_e18_129.2	HR	343	1227	535	549	462	886
HR_e18_129.3	HR	161	866	524	312	314	494
HSPBAP1_e3_182.1	HSPBAP1	206	375	330	235	342	444
HSPBAP1_e3_182.7	HSPBAP1	381	324	423	689	353	563
HSPBAP1_e3_182.8	HSPBAP1	292	540	189	327	89	351
HSPBAP1_e4_137.11	HSPBAP1	229	124	467	314	173	553
HSPBAP1_e4_137.15	HSPBAP1	261	785	753	388	271	642
HSPBAP1_e4_137.7	HSPBAP1	469	457	167	420	309	489
HSPBAP1_e5_172.2	HSPBAP1	250	70	55	237	106	152
HSPBAP1_e5_172.4	HSPBAP1	542	1259	526	529	534	1294
HSPBAP1_e5_172.8	HSPBAP1	421	370	199	531	405	824
INO80_D_e13_81.3	INO80	117	0	0	157	15	143
INO80_D_e14_96.3	INO80	349	0	32	368	74	42
INO80_D_e15_60.2	INO80	561	283	134	574	817	725
INO80_D_e16_143.11	INO80	631	101	56	645	108	369
INO80_H_e27_128.7	INO80	356	0	0	489	89	175
INO80_H_e28_95.5	INO80	117	0	0	185	92	104
INO80_H_e29_73.0	INO80	195	0	0	234	50	293
INO80_H_e30_95.11	INO80	0	0	0	0	0	0
JARID2_e12_115.1	JARID2	233	498	275	326	381	373
JARID2_e12_115.8	JARID2	346	586	502	498	506	828
JARID2_e13_106.4	JARID2	393	900	313	517	643	903
JARID2_e13_106.5	JARID2	437	778	352	535	358	744
JARID2_e14_158.16	JARID2	286	380	396	537	417	828
JARID2_e14_158.20	JARID2	212	187	216	198	166	346
JMJD1C_e21_131.3	JMJD1C	586	555	1117	520	541	1176
JMJD1C_e21_131.4	JMJD1C	397	93	738	440	188	414
JMJD1C_e21_131.6	JMJD1C	284	202	301	396	576	424
JMJD1C_e22_86.0	JMJD1C	522	505	631	693	379	818
JMJD1C_e22_86.1	JMJD1C	242	425	244	347	196	416
JMJD1C_e22_86.2	JMJD1C	512	459	483	378	642	453
JMJD4_E1_139.0	JMJD4	128	41	1	113	240	57
JMJD4_E1_139.14	JMJD4	375	378	316	372	494	531
JMJD4_E2_166.20	JMJD4	319	167	54	443	352	1054
JMJD4_E3_126.0	JMJD4	237	76	176	315	201	725
JMJD4_E3_126.7	JMJD4	169	90	81	216	98	351
JMJD4_E4_268.37	JMJD4	363	211	463	407	390	658
JMJD4_E4_268.42	JMJD4	468	175	243	663	598	1053
JMJD6_e3_280.11	JMJD6	238	562	142	448	167	548
JMJD6_e3_280.3	JMJD6	476	118	184	391	135	388
JMJD6_e3_280.45	JMJD6	450	332	89	573	252	755
JMJD6_e4_52.0	JMJD6	508	176	104	650	144	459
JMJD7_e2_95.10	JMJD7	280	58	51	284	267	616
JMJD7_e3_254.41	JMJD7	229	227	152	405	278	950
JMJD7_e4_57.0	JMJD7	285	430	462	383	376	747
JMJD7_e5_96.4	JMJD7	285	392	105	252	284	393
JMJD7_e6_77.10	JMJD7	281	501	386	275	145	458
JMJD8_E3_49.6	JMJD8	651	817	469	658	531	906
JMJD8_E4_97.12	JMJD8	362	171	301	228	456	463
JMJD8_E5_69.9	JMJD8	392	339	146	301	416	1141
JMJD8_E6_120.1	JMJD8	230	287	258	403	234	635
JMJD8_E7_68.4	JMJD8	711	801	297	631	668	951
JMJD8_E9_30.0	JMJD8	517	397	1031	653	473	1450
KAT2A_BD_e17_64.2	KAT2A	315	540	0	259	370	659
KAT2A_BD_e17_64.4	KAT2A	135	87	189	178	47	193
KAT2A_BD_e17_64.6	KAT2A	426	806	369	712	235	508
KAT2A_BD_e18_158.15	KAT2A	256	198	136	422	155	333
KAT2A_BD_e18_158.19	KAT2A	343	1250	249	463	136	126
KAT2A_BD_e18_158.5	KAT2A	104	84	41	177	23	94
KAT2B_BD_e17_85.0	KAT2B	359	720	134	430	438	832
KAT2B_BD_e17_85.3	KAT2B	550	1598	799	582	1190	1422
KAT2B_BD_e17_85.8	KAT2B	405	347	524	496	574	678
KAT2B_BD_e18_190.12	KAT2B	552	700	845	634	662	1133
KAT2B_BD_e18_190.13	KAT2B	655	1238	629	980	883	1339
KAT2B_BD_e18_190.14	KAT2B	648	1123	1187	936	1014	1659
KDM1A_e11_140.8	KDM1A	530	808	377	594	268	606
KDM1A_e13_135.3	KDM1A	312	674	39	285	70	238
KDM1A_e14_112.1	KDM1A	439	85	125	651	142	246
KDM1A_e15_133.6	KDM1A	402	58	64	540	61	94
KDM1A_e16_188.13	KDM1A	140	118	0	224	156	171
KDM1A_e17_115.1	KDM1A	139	31	22	130	72	174
KDM1A_e18_128.5	KDM1A	528	71	34	691	76	229
KDM1A_e19_147.2	KDM1A	291	62	91	452	137	21
KDM1A_e8_82.0	KDM1A	650	53	79	666	623	742
KDM1A_e9_95.4	KDM1A	545	110	24	508	393	422
KDM1B_e11_138.6	KDM1B	226	182	82	400	440	483
KDM1B_e12_132.8	KDM1B	343	615	201	397	370	1059
KDM1B_e13_75.2	KDM1B	511	201	760	478	741	490
KDM1B_e14_117.3	KDM1B	129	124	0	103	120	255
KDM1B_e15_126.10	KDM1B	66	169	103	115	112	207
KDM1B_e16_123.4	KDM1B	203	359	153	336	211	393
KDM1B_e17_153.11	KDM1B	508	636	590	692	629	1209
KDM2A_E10_56.0	KDM2A	311	249	219	357	224	124
KDM2A_E10_56.4	KDM2A	309	323	35	354	110	270
KDM2A_E8_93.0	KDM2A	333	406	210	466	384	349
KDM2A_E8_93.6	KDM2A	747	315	236	684	231	565
KDM2A_E9_154.1	KDM2A	445	200	589	665	94	292
KDM2A_E9_154.10	KDM2A	165	50	57	244	42	156
KDM2B_e6_107.0	KDM2B	642	351	789	528	508	596
KDM2B_e6_107.3	KDM2B	309	406	157	274	547	395
KDM2B_e6_107.7	KDM2B	725	958	984	897	1174	907
KDM2B_e7_94.10	KDM2B	456	287	1104	635	611	618
KDM2B_e7_94.3	KDM2B	522	357	673	536	735	1685
KDM3A_e21_131.0	KDM3A	481	607	263	519	710	591
KDM3A_e21_131.1	KDM3A	113	34	143	221	311	320
KDM3A_e21_131.13	KDM3A	446	477	361	619	784	764
KDM3A_e22_95.1	KDM3A	343	508	538	515	489	1027
KDM3A_e22_95.4	KDM3A	483	156	1194	445	247	674
KDM3A_e22_95.5	KDM3A	283	253	303	307	270	1022
KDM3B_e19_131.11	KDM3B	452	440	244	557	707	3214
KDM3B_e19_131.2	KDM3B	147	190	341	328	149	588
KDM3B_e19_131.7	KDM3B	282	561	68	248	324	514
KDM3B_e20_86.1	KDM3B	369	372	496	397	931	1887
KDM4A_e5_95.0	KDM4A	268	392	457	328	181	431
KDM4A_e6_50.2	KDM4A	106	361	104	143	93	143
KDM4A_e6_50.3	KDM4A	32	60	0	72	47	44
KDM4A_e7_104.4	KDM4A	160	41	201	276	205	249
KDM4A_e7_104.5	KDM4A	76	149	307	180	256	134
KDM4A_e8_95.6	KDM4A	461	369	392	505	519	493
KDM4A_e8_95.8	KDM4A	286	583	502	458	306	664
KDM4B_e6_106.0	KDM4B	627	571	346	686	541	788
KDM4B_e6_106.11	KDM4B	108	43	213	124	180	140
KDM4B_e7_50.1	KDM4B	130	179	62	229	87	419
KDM4B_e7_50.4	KDM4B	119	43	35	64	86	70
KDM4B_e8_104.11	KDM4B	596	508	568	571	639	1563
KDM4B_e8_104.12	KDM4B	186	365	322	187	196	801
KDM4B_e8_104.5	KDM4B	371	256	216	447	203	433
KDM4B_e9_96.5	KDM4B	167	222	157	317	228	401
KDM4B_e9_96.6	KDM4B	304	483	216	415	473	649
KDM4B_e9_96.7	KDM4B	176	184	198	187	322	164
KDM4C_e5_106.1	KDM4C	538	443	229	508	392	684
KDM4C_e5_106.7	KDM4C	236	308	64	237	214	199
KDM4C_e6_50.0	KDM4C	302	641	179	415	380	627
KDM4C_e6_50.1	KDM4C	90	108	75	58	39	231
KDM4C_e6_50.2	KDM4C	280	226	446	416	342	451
KDM4C_e7_104.5	KDM4C	927	960	1004	1494	1274	2091
KDM4C_e7_104.6	KDM4C	383	479	360	744	637	966
KDM4C_e7_104.8	KDM4C	328	182	55	418	511	524
KDM4C_e8_96.1	KDM4C	390	335	368	389	347	763
KDM4C_e8_96.5	KDM4C	201	379	197	329	90	319
KDM4D_e3_349.26	KDM4D	22	0	20	48	135	31
KDM4D_e3_349.27	KDM4D	342	590	152	312	438	712
KDM4D_e3_349.33	KDM4D	481	871	755	524	691	944
KDM4D_e3_349.39	KDM4D	286	419	175	361	582	815
KDM4D_e3_349.45	KDM4D	270	91	357	327	275	255
KDM4D_e3_349.63	KDM4D	469	612	203	401	430	1206
KDM5A_e11_79.1	KDM5A	733	1178	921	619	611	1990
KDM5A_e12_163.16	KDM5A	390	181	176	505	334	470
KDM5A_e12_163.5	KDM5A	610	217	164	561	353	701
KDM5A_e12_163.8	KDM5A	280	134	203	353	187	492
KDM5A_e13_120.2	KDM5A	451	254	114	466	124	532
KDM5A_e13_120.7	KDM5A	506	305	126	561	235	915
KDM5B_e11_86.2	KDM5B	391	460	944	669	490	754
KDM5B_e11_86.5	KDM5B	127	104	64	173	97	174
KDM5B_e12_163.12	KDM5B	418	577	316	540	345	472
KDM5B_e12_163.13	KDM5B	160	158	238	253	127	147
KDM5B_e12_163.17	KDM5B	470	699	457	700	588	1189
KDM5B_e13_120.0	KDM5B	294	112	130	341	236	420
KDM5B_e13_120.1	KDM5B	74	174	1	153	106	97
KDM5B_e13_120.2	KDM5B	213	348	77	324	266	222
KDM5C_e11_95.9	KDM5C	287	68	36	347	87	406
KDM5C_e12_163.1	KDM5C	541	144	354	675	443	329
KDM5C_e12_163.15	KDM5C	213	147	60	214	127	180
KDM5C_e12_163.18	KDM5C	467	323	49	680	282	438
KDM5C_e13_120.10	KDM5C	170	94	16	261	102	174
KDM5C_e13_120.3	KDM5C	191	181	20	232	169	199
KDM5C_e13_120.6	KDM5C	232	570	375	251	157	493
KDM5D_e13_79.1	KDM5D	566	675	385	584	753	1438
KDM5D_e14_163.1	KDM5D	382	354	184	272	495	704
KDM5D_e14_163.18	KDM5D	303	439	231	358	559	495
KDM5D_e14_163.8	KDM5D	441	722	412	358	665	999
KDM5D_e15_118.1	KDM5D	357	314	195	228	402	902
KDM5D_e15_118.5	KDM5D	378	287	283	295	402	1249
KDM5D_e15_118.7	KDM5D	275	310	383	265	377	572
KDM6A_e25_115.7	KDM6A	281	459	429	658	216	285
KDM6A_e25_115.8	KDM6A	389	680	506	670	209	748
KDM6A_e26_188.12	KDM6A	398	350	373	501	133	254
KDM6A_e26_188.17	KDM6A	366	275	260	379	208	124
KDM6B_e18_115.4	KDM6B	364	210	362	279	205	155
KDM6B_e18_115.6	KDM6B	609	295	290	752	399	1403
KDM6B_e18_115.7	KDM6B	374	193	145	434	176	712
KDM6B_e19_188.0	KDM6B	563	777	162	818	685	513
