guide	gene	NT_D3	NT_D21	Olaparib40nM_D21	Olaparib2uM_D21
sg_mRif1_05	Rif1	1061	254	186	1844
sg_mPolg_03	Polg	1050	359	333	199
sg_Non_Targeting_Mouse_BB_0087	Non_Targeting_Mouse	1185	2938	2325	197
sg_mRad52_07	Rad52	1258	1815	1341	36
sg_mNeil2_06	Neil2	1259	2811	2374	37
sg_mDdb1_06	Ddb1	902	344	299	53
sg_mUvssa_03	Uvssa	1186	2511	2208	1003
sg_mDut_06	Dut	1243	407	219	7
sg_mXpc_04	Xpc	1168	2293	1952	5
sg_mRpl11_01	Rpl11	1185	312	242	8
sg_mPolm_03	Polm	879	1461	1319	150
sg_mPlk1_03	Plk1	1165	292	377	71
sg_mRrm2b_05	Rrm2b	1168	2500	1810	125
sg_mWrn_04	Wrn	1316	2059	1472	25
sg_mSprtn_06	Sprtn	188	76	50	436
sg_mPolq_05	Polq	1172	1169	858	31
sg_Non_Targeting_Mouse_BB_0091	Non_Targeting_Mouse	1366	3320	2690	58
sg_mUng_02	Ung	1311	1752	1326	1381
sg_mLig1_05	Lig1	1084	985	538	26
sg_mXrcc4_02	Xrcc4	1195	1118	681	157
sg_mParp1_03	Parp1	1393	384	213	82
sg_Non_Targeting_Mouse_BB_0007	Non_Targeting_Mouse	1220	2889	2295	1675
sg_mChek1_03	Chek1	1219	765	527	84
sg_mRpl5_01	Rpl5	862	282	266	8
sg_mFan1_03	Fan1	1190	2369	1640	8
sg_mMre11a_05	Mre11a	1174	1998	3274	3071
sg_mPer1_03	Per1	1152	2098	1660	69
sg_mSetmar_06	Setmar	1229	3199	2482	3201
sg_mSmug1_05	Smug1	1333	2854	2514	116
sg_mErcc4_02	Ercc4	1162	926	526	39
sg_Non_Targeting_Mouse_BB_0151	Non_Targeting_Mouse	1142	2656	2113	3514
sg_Non_Targeting_Mouse_BB_0149	Non_Targeting_Mouse	1643	4373	3670	92
sg_mUbe2a_05	Ube2a	1411	6051	3792	42
sg_mNudt1_03	Nudt1	1231	2453	1952	49
sg_mXpc_03	Xpc	1276	2584	2228	890
sg_mNabp2_07	Nabp2	1188	2609	2081	162
sg_mRecql5_03	Recql5	1260	1869	1388	303
sg_mMlh3_02	Mlh3	988	2030	1749	410
sg_Non_Targeting_Mouse_BB_0051	Non_Targeting_Mouse	893	2390	1770	127
sg_mRif1_06	Rif1	1241	1714	1814	48
sg_mCcnh_01	Ccnh	1584	1185	1030	26
sg_mRad18_04	Rad18	988	1147	727	12
sg_mPolr2d_01	Polr2d	1451	1136	1022	12
sg_Non_Targeting_Mouse_BB_0129	Non_Targeting_Mouse	1121	2803	2293	786
sg_mCetn2_02	Cetn2	1230	3075	2717	24
sg_mChek2_07	Chek2	1111	3728	8830	52427
sg_mMplkip_06	Mplkip	1390	3348	2703	39
sg_mSem1_07	Sem1	1272	507	317	40
sg_mGtf2h2_01	Gtf2h2	1278	702	818	267
sg_mPer1_05	Per1	1335	2325	1769	18
sg_mPms1_05	Pms1	1191	1846	1621	239
sg_Non_Targeting_Mouse_BB_0114	Non_Targeting_Mouse	1189	2771	2231	18
sg_mExo1_04	Exo1	1144	736	365	42
sg_mLig3_07	Lig3	1040	1056	681	0
sg_mMlh3_07	Mlh3	1212	2191	1821	56
sg_mAtrip_06	Atrip	1232	862	730	95
sg_mRnf4_02	Rnf4	1344	632	620	16
sg_mXrcc1_03	Xrcc1	1104	632	293	8
sg_mTrp53bp1_04	Trp53bp1	658	1985	2337	835
sg_mChek1_06	Chek1	1033	235	196	52
sg_mDdb1_07	Ddb1	997	180	154	26
sg_mParp1_04	Parp1	1187	642	405	44
sg_mFancl_04	Fancl	1322	1202	392	7
sg_mRpl11_04	Rpl11	1084	197	161	41
sg_mPcna_01	Pcna	1040	170	148	5
sg_mNeil2_01	Neil2	1341	2723	2208	2560
sg_mRecql5_05	Recql5	1297	1713	1351	56
sg_mTdp1_04	Tdp1	975	1727	1136	24
sg_mGen1_07	Gen1	1329	1427	1284	18
sg_mTdp1_02	Tdp1	1104	1371	851	4
sg_mFancm_03	Fancm	1339	1385	989	85
sg_mUbe2a_06	Ube2a	1284	5452	3729	3768
sg_mRad17_07	Rad17	1079	213	197	146
sg_mOgg1_02	Ogg1	1251	2732	2075	1251
sg_mTdp1_01	Tdp1	1124	2037	1358	566
sg_mFance_02	Fance	707	755	569	40
sg_Non_Targeting_Mouse_BB_0096	Non_Targeting_Mouse	1026	2361	1758	15
sg_mRpa1_03	Rpa1	88	31	24	0
sg_mPolr2d_04	Polr2d	1081	277	397	11
sg_mRnf8_01	Rnf8	1211	416	243	37
sg_mMsh2_01	Msh2	1072	2017	1605	48
sg_Non_Targeting_Mouse_BB_0086	Non_Targeting_Mouse	1300	3165	2289	2404
sg_mMbd4_05	Mbd4	1178	2018	1633	480
sg_mMsh2_02	Msh2	833	1476	1241	43
sg_mPms2_01	Pms2	1288	1840	844	359
sg_mAptx_05	Aptx	1168	2492	1820	23
sg_mNabp2_03	Nabp2	1430	2835	2433	507
sg_mErcc1_02	Ercc1	1225	1064	693	708
sg_mHus1_07	Hus1	1294	3035	2882	175
sg_mTrex1_04	Trex1	1412	2355	2032	39
sg_mCcnh_06	Ccnh	1290	2812	2248	238
sg_Non_Targeting_Mouse_BB_0059	Non_Targeting_Mouse	1049	2595	2016	20
sg_mFancb_04	Fancb	1229	1368	473	106
sg_mNabp2_06	Nabp2	828	461	340	8
sg_Non_Targeting_Mouse_BB_0062	Non_Targeting_Mouse	1138	3007	2605	55
sg_mH2afx_03	H2afx	1403	267	232	15
sg_mDmc1_01	Dmc1	1112	2492	2177	27
sg_Non_Targeting_Mouse_BB_0113	Non_Targeting_Mouse	1395	3696	2886	2202
sg_mXrcc1_01	Xrcc1	1100	844	445	707
sg_mMms19_02	Mms19	1244	504	470	29
sg_mHltf_04	Hltf	1053	1903	1501	362
sg_mGtf2h4_02	Gtf2h4	1351	639	575	2095
sg_mUbe2v2_06	Ube2v2	916	218	187	1282
sg_mHelq_07	Helq	1290	1918	686	11
sg_mSmug1_06	Smug1	1280	2860	2170	73
sg_mPolr2a_06	Polr2a	920	1137	852	561
sg_mAlkbh3_06	Alkbh3	1254	2677	2190	9
sg_mMsh5_04	Msh5	1328	2301	1977	36
sg_mErcc4_07	Ercc4	1249	2085	1580	11
sg_mMlh3_05	Mlh3	1202	2647	2356	147
sg_mFancl_06	Fancl	1216	1184	424	43
sg_mErcc2_06	Ercc2	1159	350	325	7
sg_mLig1_01	Lig1	1004	1131	655	147
sg_mFaap24_01	Faap24	1204	1445	1050	250
sg_Non_Targeting_Mouse_BB_0061	Non_Targeting_Mouse	1028	2401	1889	630
sg_mErcc3_01	Ercc3	1344	866	597	13
sg_mDdb2_06	Ddb2	1123	2281	1805	2359
sg_mPalb2_04	Palb2	1255	1218	790	30
sg_mRnf168_02	Rnf168	1079	527	289	27
sg_mRpa2_02	Rpa2	1098	1150	1107	105
sg_Non_Targeting_Mouse_BB_0040	Non_Targeting_Mouse	1298	2849	2414	22
sg_mFancl_01	Fancl	1215	1484	777	112
sg_mFancg_01	Fancg	1201	1201	243	11
sg_mGen1_05	Gen1	1157	1080	1025	15
sg_mPoln_05	Poln	1295	2785	2443	297
sg_mPolr2a_02	Polr2a	1079	348	271	18
sg_mTopbp1_02	Topbp1	1205	301	202	40
sg_Non_Targeting_Mouse_BB_0069	Non_Targeting_Mouse	989	2145	1855	328
sg_mBrca1_07	Brca1	1205	860	560	224
sg_mFanci_07	Fanci	1178	1650	865	32
sg_mRecql_07	Recql	908	1601	1674	61
sg_mUbe2n_06	Ube2n	1086	306	266	28
sg_mRad54l_04	Rad54l	1355	1610	794	75
sg_mHelq_01	Helq	1023	1792	831	41
sg_mGtf2h1_07	Gtf2h1	1353	445	388	104
sg_mXrcc1_05	Xrcc1	1059	309	164	4
sg_mEme1_07	Eme1	1085	1581	866	48
sg_mMus81_03	Mus81	1505	1535	1169	9
sg_mHltf_06	Hltf	1122	2264	1882	57
sg_mPolb_02	Polb	1268	2599	452	75
sg_mErcc3_07	Ercc3	1107	413	342	12
sg_mXrcc5_02	Xrcc5	447	394	258	20
sg_mUbe2v2_04	Ube2v2	1159	1154	891	301
sg_mLig1_06	Lig1	1494	925	290	15
sg_mPcna_04	Pcna	1037	324	226	14
sg_mRnf4_03	Rnf4	1098	423	393	7
sg_mHprt_01	Hprt	800	793	494	15
sg_Non_Targeting_Mouse_BB_0134	Non_Targeting_Mouse	1521	3497	2806	78
sg_mDut_07	Dut	1302	261	179	35
sg_mXrcc5_04	Xrcc5	1249	513	560	10158
sg_mClk2_01	Clk2	940	1244	954	23724
sg_mMus81_06	Mus81	1165	982	479	120
sg_mPsmc1_02	Psmc1	1190	429	402	29
sg_mPnkp_06	Pnkp	1215	265	210	2
sg_mH2afx_07	H2afx	1545	651	378	52
sg_mMsh2_06	Msh2	969	1343	1071	48
sg_Non_Targeting_Mouse_BB_0130	Non_Targeting_Mouse	1163	3012	2603	608
sg_mFen1_04	Fen1	901	293	201	0
sg_mHprt_04	Hprt	903	1076	778	38
sg_mGtf2h1_06	Gtf2h1	1218	1475	1520	2945
sg_mTrex2_03	Trex2	1195	2805	2349	10391
sg_mRad23b_06	Rad23b	978	967	566	1
sg_mNeil2_04	Neil2	1320	2873	2355	1121
sg_mCopa_04	Copa	1054	394	255	13
sg_mRad23b_07	Rad23b	927	1142	660	274
sg_mNbn_03	Nbn	1033	1398	1172	297
sg_mNhej1_02	Nhej1	1440	789	529	1212
sg_mChek2_05	Chek2	1101	4085	9779	111686
sg_mRecql_04	Recql	1821	3685	2965	224
sg_mMgmt_07	Mgmt	1072	2704	2104	5899
sg_mRpl5_03	Rpl5	1144	368	169	242
sg_mXpa_03	Xpa	1324	2755	2440	145
sg_mLig1_07	Lig1	1126	526	204	85
sg_mAlkbh2_03	Alkbh2	1330	2752	2337	34
sg_mRrm2b_02	Rrm2b	1080	2151	2095	4
sg_mGtf2h5_03	Gtf2h5	1318	2455	3888	1675
sg_mDclre1b_01	Dclre1b	974	202	231	55
sg_mPrkdc_07	Prkdc	1125	939	762	24
sg_mErcc5_04	Ercc5	1234	2347	2110	11
sg_mDclre1b_05	Dclre1b	1270	260	214	26
sg_mErcc1_03	Ercc1	1133	967	581	68
sg_mPolk_03	Polk	882	1891	1349	128
sg_mRecql4_07	Recql4	1133	984	869	6
sg_mDclre1a_05	Dclre1a	1326	2811	2403	183
sg_mDclre1a_07	Dclre1a	1188	2315	1711	165
sg_mXrcc3_03	Xrcc3	1220	438	275	1
sg_mParp1_02	Parp1	1058	489	367	4542
sg_mPsmb2_04	Psmb2	1114	247	186	21
sg_mRad50_03	Rad50	1411	619	539	3
sg_mRad1_02	Rad1	1202	903	603	33
sg_mRad23b_01	Rad23b	1140	1305	741	14
sg_mMlh1_04	Mlh1	1278	1985	1382	94
sg_mHltf_05	Hltf	1066	1712	1379	37
sg_mXpc_06	Xpc	987	1969	1638	15
sg_mPoln_06	Poln	1256	2547	1989	119
sg_mMpg_07	Mpg	1104	2209	1773	7291
sg_mRad17_02	Rad17	1269	528	301	35
sg_mRad23a_02	Rad23a	1294	2176	1629	10
sg_mRad18_06	Rad18	1132	2192	1568	17
sg_Non_Targeting_Mouse_BB_0047	Non_Targeting_Mouse	1032	2325	1731	185
sg_mApex2_05	Apex2	1078	241	215	37
sg_mFaap20_03	Faap20	1289	2495	1708	4462
sg_mRpa2_04	Rpa2	1142	1000	909	27
sg_mLig4_06	Lig4	1213	515	387	37
sg_mMlh1_02	Mlh1	1141	1475	1120	24
sg_mNeil2_02	Neil2	1170	2548	2620	429
sg_mRpa2_07	Rpa2	1333	1365	1030	279
sg_Non_Targeting_Mouse_BB_0142	Non_Targeting_Mouse	953	2568	2350	13
sg_mSlx4_01	Slx4	1374	1738	952	141
sg_mUbe2n_01	Ube2n	1216	369	301	81
sg_mFancc_05	Fancc	1388	1451	713	39
sg_mCetn2_04	Cetn2	1255	2546	2130	19
sg_mNeil3_02	Neil3	1316	2836	2296	5786
sg_mGtf2h5_01	Gtf2h5	1436	2667	3840	134
sg_mFancf_03	Fancf	1211	1297	601	19
sg_mTdg_01	Tdg	1190	2659	2213	559
sg_mAlkbh3_04	Alkbh3	996	2215	1837	2160
sg_mAlkbh3_01	Alkbh3	1245	3003	2373	6410
sg_mXrcc4_01	Xrcc4	1125	2397	1924	127
sg_mHus1_05	Hus1	1173	310	301	54
sg_mPolg_07	Polg	1158	326	224	16
sg_mTdp1_03	Tdp1	1157	1609	833	16
sg_mNeil1_02	Neil1	1009	1101	1191	57
sg_mWrn_01	Wrn	1180	2018	1653	17
sg_mRif1_01	Rif1	1551	336	338	70
sg_mMnat1_01	Mnat1	1252	327	219	20
sg_mXpa_06	Xpa	1154	1945	1427	40
sg_mRad50_02	Rad50	1155	310	296	5
sg_mMsh2_05	Msh2	1112	1926	1603	75
sg_mMbd4_04	Mbd4	1165	2194	1778	933
sg_mPold1_05	Pold1	1330	767	605	71
sg_mMsh4_05	Msh4	1411	2352	1942	23
sg_mAtm_07	Atm	1285	2198	3972	4808
sg_mChek1_07	Chek1	971	692	667	34
sg_mGen1_02	Gen1	1314	1536	1205	144
sg_mPold1_03	Pold1	1388	1557	1081	20
sg_mXpa_01	Xpa	1112	2047	1846	19
sg_mMutyh_01	Mutyh	1025	2066	1641	185
sg_mXrcc4_03	Xrcc4	1357	2706	2151	229
sg_mTrex2_04	Trex2	1207	3011	2236	10
sg_Non_Targeting_Mouse_BB_0136	Non_Targeting_Mouse	1161	2865	2414	489
sg_mErcc5_03	Ercc5	1074	1861	1426	11
sg_mRad50_05	Rad50	1462	634	437	1615
sg_mMsh5_03	Msh5	1323	2634	2100	9
sg_Non_Targeting_Mouse_BB_0100	Non_Targeting_Mouse	1079	2744	1831	47
sg_mBrip1_05	Brip1	1162	2320	1981	263
sg_mRnf8_04	Rnf8	1076	267	173	12
sg_mRdm1_07	Rdm1	1199	1754	1369	15
sg_mDclre1c_01	Dclre1c	1156	2833	2705	56
sg_Non_Targeting_Mouse_BB_0137	Non_Targeting_Mouse	1120	2787	2355	524
sg_mMlh3_04	Mlh3	1022	2146	1549	187
sg_mPolb_07	Polb	1179	2749	758	39
sg_mErcc2_04	Ercc2	1173	1099	1026	13
sg_mDclre1c_06	Dclre1c	1342	2960	2970	66
sg_mPoll_03	Poll	1225	2100	1754	71
sg_mRpl5_07	Rpl5	1001	306	192	37
sg_mRpa3_06	Rpa3	1246	751	705	99
sg_mTdp2_01	Tdp2	1123	2506	2209	28
sg_mUbe2b_06	Ube2b	1027	2493	2126	5081
sg_mPoll_06	Poll	1641	2808	2454	151
sg_mUbe2a_01	Ube2a	1079	4757	3354	15
sg_mBrca1_03	Brca1	841	834	532	12
sg_mEndov_01	Endov	1135	2379	1992	63
sg_mAtrip_02	Atrip	1244	562	390	28
sg_mGtf2h2_03	Gtf2h2	1413	978	772	475
sg_Non_Targeting_Mouse_BB_0112	Non_Targeting_Mouse	1064	2595	2220	3
sg_mShprh_02	Shprh	1567	3111	2493	2322
sg_mUvssa_05	Uvssa	1494	2634	1970	8
sg_mRnf168_06	Rnf168	1246	2978	2469	14
sg_mNup93_07	Nup93	1020	287	177	23
sg_mPole_03	Pole	1220	406	386	13
sg_mPms2_07	Pms2	1290	1765	826	8
sg_mLig3_03	Lig3	1204	1318	1202	2721
sg_mFanci_04	Fanci	1134	1514	515	13
sg_mErcc8_04	Ercc8	1052	1864	1425	143
sg_mRpa3_04	Rpa3	871	351	347	53
sg_mPer1_06	Per1	1462	3007	2582	579
sg_mWrn_07	Wrn	1657	2601	1943	281
sg_mShprh_07	Shprh	1188	2611	2113	55
sg_mChek1_05	Chek1	1060	353	301	303
sg_mGtf2h5_02	Gtf2h5	1278	1973	2550	18
sg_mChek2_01	Chek2	1069	3993	9984	206794
sg_mPolk_05	Polk	1171	2151	1833	2055
sg_mRad51c_03	Rad51c	1202	369	148	1
sg_mDmc1_04	Dmc1	1258	2938	2407	1032
sg_mRad54b_04	Rad54b	1460	3049	2229	127
sg_mSlx1b_03	Slx1b	1067	1981	1268	88
sg_mXrcc2_02	Xrcc2	1247	627	298	79
sg_mUng_06	Ung	1403	3071	1593	19
sg_mRad18_07	Rad18	954	913	746	56
sg_mSmug1_03	Smug1	1226	2524	2343	3201
sg_mXrcc2_04	Xrcc2	1027	434	272	2932
sg_mRnf8_03	Rnf8	1223	1240	899	64
sg_mErcc5_02	Ercc5	1086	2361	1709	532
sg_mBlm_07	Blm	1069	640	470	23
sg_mOgg1_06	Ogg1	1063	1736	1709	46
sg_mPrpf19_06	Prpf19	1168	418	424	22
sg_mDclre1b_04	Dclre1b	1291	264	199	19
sg_mRpl5_05	Rpl5	1196	256	220	17
sg_mCetn2_05	Cetn2	1194	3118	2634	134
sg_mMpg_05	Mpg	1046	2138	1653	16
sg_mBrip1_07	Brip1	924	2165	1821	773
sg_mDclre1a_02	Dclre1a	1264	2542	1949	29
sg_mMbd4_02	Mbd4	1220	2231	1638	48
sg_Non_Targeting_Mouse_BB_0009	Non_Targeting_Mouse	1196	3169	2692	36
sg_mDdb2_04	Ddb2	960	2145	1718	174
sg_mDmc1_03	Dmc1	1136	2657	2066	24
sg_mMms19_05	Mms19	1126	229	132	4
sg_mTdg_06	Tdg	1215	1735	1871	32
sg_mRbbp8_04	Rbbp8	1321	1358	695	62
sg_mErcc4_01	Ercc4	1092	1156	589	19
sg_mPsmc1_06	Psmc1	1027	283	285	13
sg_mRad51_03	Rad51	1080	280	175	58
sg_mNudt1_07	Nudt1	1476	2975	2447	1304
sg_mXrcc1_07	Xrcc1	660	240	138	10
sg_mGtf2h2_02	Gtf2h2	1320	323	275	34
sg_mRev1_02	Rev1	1189	1803	1313	4081
sg_mGtf2h2_04	Gtf2h2	1287	297	226	12
sg_mPlk1_06	Plk1	982	960	928	18
sg_mCdk7_05	Cdk7	920	217	157	7
sg_mMdc1_04	Mdc1	1052	1007	924	215
sg_mParp3_01	Parp3	1307	2454	1980	130
sg_mDmc1_06	Dmc1	1268	2898	2469	2256
sg_mPolm_01	Polm	980	1981	1737	1542
sg_mRad51b_03	Rad51b	1361	1982	957	73
sg_mTrex1_06	Trex1	1101	1393	925	140
sg_mPolr2d_03	Polr2d	908	765	708	13
sg_mGtf2h2_07	Gtf2h2	1173	2609	2260	155
sg_mSlx1b_02	Slx1b	1126	1884	1183	345
sg_mEme2_04	Eme2	1398	2916	2049	357
sg_mFancf_06	Fancf	1415	1908	1106	32
sg_mRpa3_02	Rpa3	1118	2319	1959	96
sg_mFan1_06	Fan1	1384	3113	2468	5797
sg_mFen1_02	Fen1	1176	231	187	15
sg_mBrca1_06	Brca1	1327	1228	855	308
sg_mFancm_05	Fancm	1102	519	435	20
sg_mDmc1_02	Dmc1	1216	2629	1960	225
sg_Non_Targeting_Mouse_BB_0043	Non_Targeting_Mouse	1301	2979	2394	986
sg_mPoln_01	Poln	1353	2860	2208	32
sg_mRad51d_02	Rad51d	940	448	240	6
sg_mPer1_04	Per1	1172	2493	1894	21
sg_mNbn_02	Nbn	1079	488	544	11
sg_mChek2_03	Chek2	1176	4183	9190	74426
sg_mRad1_01	Rad1	1165	421	275	26
sg_mDdb2_01	Ddb2	1380	2815	2480	62
sg_mMsh4_03	Msh4	1160	2218	1549	80
sg_mClk2_03	Clk2	1134	1273	974	36
sg_mRad51b_06	Rad51b	1180	1346	686	378
sg_mMdc1_03	Mdc1	1313	1528	1184	20
sg_mRad51b_07	Rad51b	1133	1522	576	18
sg_Non_Targeting_Mouse_BB_0030	Non_Targeting_Mouse	911	2441	2288	365
sg_mOgg1_01	Ogg1	1124	2202	1701	3732
sg_mParp3_06	Parp3	996	1880	1636	334
sg_mPolg_05	Polg	1077	197	214	34
sg_mRdm1_01	Rdm1	828	1158	847	4
sg_mFancd2_04	Fancd2	1154	1154	443	106
sg_mRad51_07	Rad51	895	361	205	10
sg_mRnf8_06	Rnf8	1334	1015	512	30
sg_mPsmb2_05	Psmb2	1656	380	267	165
sg_mRnf8_07	Rnf8	1103	242	147	6
sg_mParp2_01	Parp2	1122	1773	222	28
sg_mNeil3_07	Neil3	1356	2286	1799	29
sg_mCetn2_01	Cetn2	955	2242	1753	61
sg_mMpg_01	Mpg	1126	2466	1761	227
sg_mFancd2_03	Fancd2	1077	1446	652	69
sg_mRecql_06	Recql	1082	1962	1713	509
sg_mPolr2d_07	Polr2d	919	658	606	6
sg_mXrcc6_07	Xrcc6	1297	775	561	23
sg_Non_Targeting_Mouse_BB_0006	Non_Targeting_Mouse	1387	3367	2616	80
sg_Non_Targeting_Mouse_BB_0031	Non_Targeting_Mouse	905	2496	1913	3056
sg_mRad51d_03	Rad51d	1169	295	189	28
